Name,Age,Tm,WS,WS/48,Season,Surname,First Name,PlayerID
Maurice Ager,26.0,MIN,0.0,-0.015,2010-11,Ager,Maurice,23
Mark Aguirre,22.0,DAL,1.9,0.061,1981-82,Aguirre,Mark,24
Mark Aguirre,23.0,DAL,6.9,0.11800000000000001,1982-83,Aguirre,Mark,24
Mark Aguirre,24.0,DAL,9.0,0.149,1983-84,Aguirre,Mark,24
Mark Aguirre,25.0,DAL,7.2,0.128,1984-85,Aguirre,Mark,24
Mark Aguirre,26.0,DAL,4.7,0.09,1985-86,Aguirre,Mark,24
Mark Aguirre,27.0,DAL,8.9,0.16,1986-87,Aguirre,Mark,24
Mark Aguirre,28.0,DAL,8.8,0.163,1987-88,Aguirre,Mark,24
Mark Aguirre,29.0,TOT,4.5,0.08199999999999999,1988-89,Aguirre,Mark,24
Mark Aguirre,29.0,DAL,1.7,0.052000000000000005,1988-89,Aguirre,Mark,24
Mark Aguirre,29.0,DET,2.8,0.126,1988-89,Aguirre,Mark,24
Mark Aguirre,30.0,DET,5.7,0.136,1989-90,Aguirre,Mark,24
Mark Aguirre,31.0,DET,5.5,0.132,1990-91,Aguirre,Mark,24
Mark Aguirre,32.0,DET,2.2,0.066,1991-92,Aguirre,Mark,24
Mark Aguirre,33.0,DET,1.8,0.08199999999999999,1992-93,Aguirre,Mark,24
Mark Aguirre,34.0,LAC,0.9,0.05,1993-94,Aguirre,Mark,24
Blake Ahearn,23.0,MIA,0.0,-0.006,2007-08,Ahearn,Blake,25
Blake Ahearn,24.0,SAS,0.1,0.149,2008-09,Ahearn,Blake,25
Blake Ahearn,27.0,UTA,-0.2,-0.315,2011-12,Ahearn,Blake,25
Danny Ainge,22.0,BOS,0.5,0.042,1981-82,Ainge,Danny,26
Danny Ainge,23.0,BOS,5.2,0.121,1982-83,Ainge,Danny,26
Danny Ainge,24.0,BOS,1.8,0.076,1983-84,Ainge,Danny,26
Danny Ainge,25.0,BOS,6.6,0.124,1984-85,Ainge,Danny,26
Danny Ainge,26.0,BOS,6.8,0.136,1985-86,Ainge,Danny,26
Danny Ainge,27.0,BOS,6.7,0.128,1986-87,Ainge,Danny,26
Danny Ainge,28.0,BOS,8.6,0.136,1987-88,Ainge,Danny,26
Danny Ainge,29.0,TOT,6.7,0.135,1988-89,Ainge,Danny,26
Danny Ainge,29.0,BOS,3.8,0.133,1988-89,Ainge,Danny,26
Danny Ainge,29.0,SAC,2.9,0.136,1988-89,Ainge,Danny,26
Danny Ainge,30.0,SAC,4.8,0.085,1989-90,Ainge,Danny,26
Danny Ainge,31.0,POR,6.2,0.175,1990-91,Ainge,Danny,26
Danny Ainge,32.0,POR,5.2,0.155,1991-92,Ainge,Danny,26
Danny Ainge,33.0,PHO,6.2,0.139,1992-93,Ainge,Danny,26
Danny Ainge,34.0,PHO,2.8,0.087,1993-94,Ainge,Danny,26
Danny Ainge,35.0,PHO,3.4,0.11800000000000001,1994-95,Ainge,Danny,26
Alexis Ajinca,20.0,CHA,-0.1,-0.018000000000000002,2008-09,Ajinca,Alexis,27
Alexis Ajinca,21.0,CHA,0.0,-0.013000000000000001,2009-10,Ajinca,Alexis,27
Alexis Ajinca,22.0,TOT,0.4,0.052000000000000005,2010-11,Ajinca,Alexis,27
Alexis Ajinca,22.0,DAL,0.1,0.084,2010-11,Ajinca,Alexis,27
Alexis Ajinca,22.0,TOR,0.2,0.042,2010-11,Ajinca,Alexis,27
Alexis Ajinca,25.0,NOP,2.1,0.10400000000000001,2013-14,Ajinca,Alexis,27
Alexis Ajinca,26.0,NOP,3.2,0.159,2014-15,Ajinca,Alexis,27
Alexis Ajinca,27.0,NOP,1.0,0.057999999999999996,2015-16,Ajinca,Alexis,27
Alexis Ajinca,28.0,NOP,1.0,0.08,2016-17,Ajinca,Alexis,27
Josh Akognon,26.0,DAL,0.0,0.196,2012-13,Akognon,Josh,28
Solomon Alabi,22.0,TOR,-0.2,-0.142,2010-11,Alabi,Solomon,30
Solomon Alabi,23.0,TOR,0.2,0.083,2011-12,Alabi,Solomon,30
Mark Alarie,23.0,DEN,1.5,0.064,1986-87,Alarie,Mark,31
Mark Alarie,24.0,WSB,0.9,0.057999999999999996,1987-88,Alarie,Mark,31
Mark Alarie,25.0,WSB,2.2,0.09300000000000001,1988-89,Alarie,Mark,31
Mark Alarie,26.0,WSB,3.1,0.079,1989-90,Alarie,Mark,31
Mark Alarie,27.0,WSB,0.6,0.05,1990-91,Alarie,Mark,31
Furkan Aldemir,23.0,PHI,1.4,0.122,2014-15,Aldemir,Furkan,32
Cole Aldrich,22.0,OKC,0.2,0.066,2010-11,Aldrich,Cole,33
Cole Aldrich,23.0,OKC,0.6,0.17600000000000002,2011-12,Aldrich,Cole,33
Cole Aldrich,24.0,TOT,0.6,0.07,2012-13,Aldrich,Cole,33
Cole Aldrich,24.0,HOU,0.2,0.038,2012-13,Aldrich,Cole,33
Cole Aldrich,24.0,SAC,0.4,0.109,2012-13,Aldrich,Cole,33
Cole Aldrich,25.0,NYK,1.2,0.17800000000000002,2013-14,Aldrich,Cole,33
Cole Aldrich,26.0,NYK,2.2,0.107,2014-15,Aldrich,Cole,33
Cole Aldrich,27.0,LAC,3.5,0.209,2015-16,Aldrich,Cole,33
Cole Aldrich,28.0,MIN,1.3,0.11599999999999999,2016-17,Aldrich,Cole,33
LaMarcus Aldridge,21.0,POR,3.4,0.11800000000000001,2006-07,Aldridge,LaMarcus,34
LaMarcus Aldridge,22.0,POR,6.2,0.113,2007-08,Aldridge,LaMarcus,34
LaMarcus Aldridge,23.0,POR,9.5,0.151,2008-09,Aldridge,LaMarcus,34
LaMarcus Aldridge,24.0,POR,8.8,0.145,2009-10,Aldridge,LaMarcus,34
LaMarcus Aldridge,25.0,POR,11.1,0.166,2010-11,Aldridge,LaMarcus,34
LaMarcus Aldridge,26.0,POR,7.0,0.16899999999999998,2011-12,Aldridge,LaMarcus,34
LaMarcus Aldridge,27.0,POR,7.2,0.124,2012-13,Aldridge,LaMarcus,34
LaMarcus Aldridge,28.0,POR,7.5,0.14400000000000002,2013-14,Aldridge,LaMarcus,34
LaMarcus Aldridge,29.0,POR,8.6,0.165,2014-15,Aldridge,LaMarcus,34
LaMarcus Aldridge,30.0,SAS,10.1,0.215,2015-16,Aldridge,LaMarcus,34
LaMarcus Aldridge,31.0,SAS,7.3,0.149,2016-17,Aldridge,LaMarcus,34
Chuck Aleksinas,25.0,GSW,0.4,0.019,1984-85,Aleksinas,Chuck,35
Cliff Alexander,20.0,POR,0.0,0.052000000000000005,2015-16,Alexander,Cliff,36
Cory Alexander,22.0,SAS,0.2,0.021,1995-96,Alexander,Cory,37
Cory Alexander,23.0,SAS,1.1,0.035,1996-97,Alexander,Cory,37
Cory Alexander,24.0,TOT,2.2,0.081,1997-98,Alexander,Cory,37
Cory Alexander,24.0,SAS,0.7,0.065,1997-98,Alexander,Cory,37
Cory Alexander,24.0,DEN,1.5,0.091,1997-98,Alexander,Cory,37
Cory Alexander,25.0,DEN,-0.3,-0.016,1998-99,Alexander,Cory,37
Cory Alexander,26.0,DEN,-0.1,-0.012,1999-00,Alexander,Cory,37
Cory Alexander,27.0,ORL,-0.1,-0.031,2000-01,Alexander,Cory,37
Cory Alexander,31.0,CHA,0.0,0.002,2004-05,Alexander,Cory,37
Courtney Alexander,23.0,TOT,0.8,0.027000000000000003,2000-01,Alexander,Courtney,38
Courtney Alexander,23.0,DAL,-0.1,-0.013000000000000001,2000-01,Alexander,Courtney,38
Courtney Alexander,23.0,WAS,0.9,0.048,2000-01,Alexander,Courtney,38
Courtney Alexander,24.0,WAS,2.2,0.08,2001-02,Alexander,Courtney,38
Courtney Alexander,25.0,NOH,1.1,0.04,2002-03,Alexander,Courtney,38
Gary Alexander,24.0,TOT,0.0,-0.032,1993-94,Alexander,Gary,39
Gary Alexander,24.0,MIA,0.0,-0.09,1993-94,Alexander,Gary,39
Gary Alexander,24.0,CLE,0.0,-0.015,1993-94,Alexander,Gary,39
Joe Alexander,22.0,MIL,0.4,0.03,2008-09,Alexander,Joe,40
Joe Alexander,23.0,CHI,0.0,0.03,2009-10,Alexander,Joe,40
Victor Alexander,22.0,GSW,2.5,0.09,1991-92,Alexander,Victor,43
Victor Alexander,23.0,GSW,3.0,0.083,1992-93,Alexander,Victor,43
