Dim1,Dim2
0.4711219,0.64016
0.47956446,0.5555275
0.4683351,0.47935545
0.6323104,0.8747947
0.14241934,0.7040112
0.54419845,0.72106916
0.7622391,0.65673494
0.10752118,0.488733
0.5454106,0.89026636
0.38776776,0.82294166
0.36167794,0.71249443
0.77846396,0.6808536
0.43866453,0.5599537
0.24368058,0.40955585
0.49804175,0.43039367
0.97767043,0.70587397
0.39725196,0.9155119
0.34720254,0.8220531
0.7637876,0.69414866
0.45762587,0.6433937
0.52591085,0.5897638
0.73315644,0.55584663
0.6127734,0.40507248
0.17707628,0.3157042
0.62878466,0.30764943
0.8859217,0.4512925
0.60354066,0.20111224
0.3858978,0.19693291
0.8114915,0.79034746
0.49332896,0.82444185
0.36080557,0.7371137
0.1204676,0.5407392
0.39249504,0.53419536
0.71023965,0.32178867
0.3888042,0.8169644
0.22494006,0.6815857
0.055395693,0.61073846
0.7297002,0.82351255
0.14571425,0.7124093
0.5798864,0.70085675
0.096214175,0.30278942
0.7287345,0.7800629
0.2475402,0.6918954
0.4370185,0.63284546
0.63000256,0.77667385
0.7355419,0.90059423
0.52357423,0.975132
0.38572395,0.80201364
0.9565054,0.68731666
0.12170839,0.45345986
0.62879735,0.864067
0.21116596,0.74832606
0.417084,0.72389644
0.4394037,0.6391151
0.26683837,0.4842566
0.8858069,0.70153284
0.051919132,0.5180379
0.56253594,0.6556049
0.46870607,0.5587433
0.4632996,0.4720906
0.6295209,0.44382346
0.5001663,0.34292802
0.5902816,0.29088974
0.6252599,0.22911546
0.58501995,0.7064198
0.89680123,0.7581896
0.13647115,0.73987705
0.77651036,0.7650167
0.30564764,0.66633016
0.41772974,0.5834434
0.6433058,0.6144275
0.55021596,0.5035846
0.6640499,0.4359359
0.62194955,0.40828127
0.7550358,0.3365531
0.08885059,0.32244402
0.67072684,0.16779277
0.5652971,0.1384418
0.58375657,0.086128026
0.47691232,0.08731556
0.4478447,0.060435712
0.50048816,0.03231886
0.44159836,0.7914674
0.75443697,0.71929586
0.12850717,0.517206
0.61573654,0.58785427
0.39549714,0.45572892
0.7794882,0.47180063
0.67642796,0.37408876
0.6492024,0.31944573
0.6630056,0.22227958
0.6454524,0.18092391
0.62668914,0.12749618
0.6187869,0.07545
0.31615955,0.1434395
0.6360111,0.8662605
0.48696178,0.62799877
0.5692142,0.876988
0.03303951,0.5332526
0.3204542,0.77697253
0.5233327,0.73591137
0.8262674,0.6245945
0.6392916,0.53870773
0.79384315,0.60645044
0.46384612,0.39100063
0.6298985,0.40375665
0.67667156,0.276044
0.5717332,0.24998838
0.4093422,0.16587251
0.94866085,0.66202414
0.4688817,0.34393778
0.25457376,0.2727041
0.55643386,0.22592196
0.065431744,0.52488524
0.55951595,0.97412694
0.6332893,0.89810145
0.37259233,0.92883325
0.21086979,0.7256462
0.8193597,0.6376994
0.34331882,0.57934463
0.42712614,0.5809596
0.5448047,0.52635473
0.22204572,0.32863814
0.326267,0.7270231
0.7373621,0.669631
0.54172003,0.587575
0.5280797,0.5022691
0.5292653,0.4209914
0.49005908,0.33266577
0.6852957,0.30239204
0.85874885,0.42813763
0.3198398,0.17998606
0.69666576,0.755887
0.20677051,0.67725104
0.7828347,0.65950173
0.26115623,0.4736656
0.27218643,0.40062034
0.8839296,0.51390374
0.6352284,0.28559873
0.6485642,0.25012293
0.6419898,0.1777738
0.6140918,0.1328009
0.62264574,0.06280205
0.51383036,0.0711824
0.50074255,0.05460325
0.49962023,0.03185016
0.37686592,0.3289857
0.41271156,0.8093877
0.81078655,0.5309442
0.7274313,0.3953585
0.34627196,0.26925895
0.6930816,0.2295939
0.48011038,0.19009092
0.48881856,0.1435414
0.31320053,0.8339001
0.8665038,0.70115215
0.28460205,0.6240326
0.12879372,0.49043906
0.77326685,0.52881414
0.5859862,0.43860897
0.23343429,0.34177923
0.6025453,0.26736036
0.6470468,0.2446745
0.4545652,0.16842338
0.4135756,0.90390944
0.5820079,0.8153902
0.07231593,0.5315571
0.10555452,0.50411403
0.94411474,0.6742076
0.13830873,0.38003254
0.29391342,0.2978598
0.49156773,0.29331368
0.83525693,0.41930133
0.44824755,0.20480356
0.48220992,0.93297404
0.3805635,0.9036107
0.8571663,0.79031825
0.09533897,0.43587756
0.6698078,0.8229539
0.2912324,0.8067666
0.20076507,0.6500918
0.38737333,0.65746725
0.99666715,0.70379084
0.56445616,0.8615272
0.1681382,0.5984361
0.17922696,0.6392553
0.64061314,0.6535501
0.15396163,0.4510099
0.5236864,0.53054684
0.6575274,0.4895066
0.16847423,0.31390202
0.8267659,0.4272564
0.3170273,0.23111588
0.59696966,0.18136153
0.51547045,0.14485171
0.60510975,0.90713817
0.31050223,0.8929889
0.79931164,0.7248046
0.43926564,0.70042086
0.26876497,0.5860603
0.65798646,0.8676195
0.859403,0.7084795
0.29836506,0.6584898
0.1544042,0.5054303
0.4264223,0.5180202
0.47566527,0.48342603
0.34285146,0.39668685
0.8121792,0.46932542
0.5530548,0.30747986
0.36074865,0.22196326
0.1308029,0.29905632
0.66478175,0.09059805
0.73399377,0.58259726
0.42873383,0.46729922
0.50496286,0.4211824
0.75020534,0.6051741
0.24278909,0.43482774
0.7101665,0.45925447
0.9519751,0.66226345
0.29447895,0.2776751
